,book,known,unknown,unique
0,Genesis,513,61,38
1,Exodus,507,86,47
2,Leviticus,530,102,46
3,Numbers,577,67,35
4,Deuteronomy,525,66,49
5,Joshua,559,45,29
6,Judges,604,65,45
7,1_Samuel,556,53,39
8,2_Samuel,591,58,45
9,1_Kings,773,76,47
10,2_Kings,638,53,40
11,Isaiah,266,81,68
12,Jeremiah,497,74,59
13,Ezekiel,460,84,50
14,Hosea,179,45,39
15,Joel,255,74,60
16,Amos,255,53,47
17,Obadiah,328,64,56
18,Jonah,212,34,26
19,Micah,218,52,48
20,Nahum,169,79,70
21,Habakkuk,208,90,79
22,Zephaniah,277,68,61
23,Haggai,401,37,29
24,Zechariah,279,40,31
25,Malachi,339,56,45
26,Psalms,127,41,36
27,Job,186,73,65
28,Proverbs,197,88,75
29,Ruth,395,55,36
30,Song_of_songs,137,73,56
31,Ecclesiastes,296,56,43
32,Lamentations,284,104,87
33,Esther,398,63,36
34,Daniel,391,281,121
35,Ezra,405,121,69
36,Nehemiah,536,66,46
37,1_Chronicles,494,42,31
38,2_Chronicles,498,50,39
