Pointed-ext
1 - BHSA:בְּ | SQL:רֵאשִׁ֖ית 
7138 - BHSA:בֵינֶֽיׄךָ׃  | SQL:בֵינֶֽיׄכָ׃ 
11325 - BHSA:אֲרַ֥ם  | SQL:אֲרַ֥ם נַֽהֲרַ֖יִם 
11326 - BHSA:נַֽהֲרַ֖יִם  | SQL:אֶל־
16564 - BHSA: | SQL:חֲלֹ֖ום 
71532 - BHSA:אַׄהֲׄרֹ֛ׄןׄ  | SQL:אַׄהֲׄרֹ֛ׄנׄ 
76767 - BHSA:מַּחֲנֶֽה׃ נ ס  | SQL:מַּחֲנֶֽה׃ ׆ ס 
76795 - BHSA:יִשְׂרָאֵֽל׃ נ פ  | SQL:יִשְׂרָאֵֽל׃ ׆ פ 
88141 - BHSA:עִשָּׂרֹוׄן֙  | SQL:עִשָּׂרֹוׄנ֙ 
105982 - BHSA:אֲרַ֥ם  | SQL:אֲרַ֥ם נַהֲרַ֖יִם 
105983 - BHSA:נַהֲרַ֖יִם  | SQL:לְ
128873 - BHSA:אֲרַ֣ם  | SQL:אֲרַ֣ם נַהֲרָ֑יִם 
128874 - BHSA:נַהֲרָ֑יִם  | SQL:וַ
205835 - BHSA:שֻׁ֝֠בוּ  | SQL:שֻׁ֝֩בוּ 
310660 - BHSA:עֲצַ֢ת  | SQL:עֲצַ֪ת 
310691 - BHSA:שָׁת֢וּל  | SQL:שָׁת֪וּל 
310873 - BHSA:אֹמְרִ֢ים  | SQL:אֹמְרִ֪ים 
311007 - BHSA:יַרְאֵ֢נוּ֫  | SQL:יַרְאֵ֪נוּ֫ 
311027 - BHSA:אֶשְׁכְּבָ֢ה  | SQL:אֶשְׁכְּבָ֪ה 
311091 - BHSA:דֹּבְרֵ֢י  | SQL:דֹּבְרֵ֪י 
311127 - BHSA:קִרְבָּ֢ם  | SQL:קִרְבָּ֪ם 
311138 - BHSA:מֹּעֲצֹ֢ותֵ֫יהֶ֥ם  | SQL:מֹּעֲצֹ֪ותֵ֫יהֶ֥ם 
